epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,2015.04,0.18313,0.66464,0.79031,0.9987,1,0.995,0.995,0.1415,0.84016,0.75659,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,2076.63,0.18013,0.65539,0.80672,0.99871,1,0.995,0.995,0.14168,0.84688,0.75681,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,2131.02,0.18294,0.63174,0.82509,0.9987,1,0.995,0.995,0.1427,0.81314,0.75717,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,2192.36,0.1808,0.66499,0.81984,0.99872,1,0.995,0.995,0.15042,0.79727,0.75686,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,2246.65,0.16972,0.60691,0.80467,0.99871,1,0.995,0.995,0.13666,0.81565,0.75525,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,2308,0.18533,0.61524,0.81265,0.99871,1,0.995,0.995,0.13155,0.80603,0.7545,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,2362.53,0.17467,0.64187,0.81918,0.99871,1,0.995,0.995,0.11265,0.77207,0.75531,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,2424.04,0.14705,0.61727,0.79658,0.99873,1,0.995,0.995,0.12013,0.78074,0.75629,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,2481.05,0.15916,0.6181,0.82078,0.99872,1,0.995,0.995,0.09852,0.7571,0.7569,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,2543.33,0.15235,0.58861,0.80303,0.99872,1,0.995,0.995,0.0964,0.74898,0.75687,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,2596.76,0.14162,0.73895,0.77092,0.99872,1,0.995,0.995,0.10669,0.76844,0.75801,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2657.18,0.12816,0.70178,0.77476,0.9987,1,0.995,0.995,0.11715,0.7804,0.75721,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,2710.9,0.13953,0.70687,0.76476,0.99871,1,0.995,0.995,0.09712,0.77263,0.75644,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,2771.86,0.13375,0.71886,0.76643,0.99871,1,0.995,0.995,0.08445,0.77202,0.75739,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,2826.01,0.11896,0.70361,0.7519,0.99872,1,0.995,0.995,0.09151,0.76344,0.75805,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,2886.23,0.12319,0.7028,0.76536,0.99872,1,0.995,0.995,0.09068,0.74895,0.75814,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,2940.07,0.121,0.68781,0.76065,0.99872,1,0.995,0.995,0.08251,0.74112,0.75836,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,3006.19,0.11873,0.67114,0.75864,0.99871,1,0.995,0.995,0.09015,0.73385,0.75918,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,3105.04,0.11465,0.67592,0.75907,0.99871,1,0.995,0.995,0.08983,0.73717,0.75894,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,3215.2,0.11897,0.6674,0.75899,0.99872,1,0.995,0.995,0.08145,0.72318,0.75914,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
